 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # efficiency.dat, contains the efficincy at the optimal set-point for each
 # equipment and time-step.   
 #--------------------------------------------------------------------------#

Time [h]                 ICE                Fuel Boiler     Mechanical Chiller     Absorption Chiller     
          Electric   Thermal  Chilling
1.00E+00       0.44      0.40      0.00     0.00          0.00          0.70          
2.00E+00       0.44      0.40      0.00     0.00          0.00          0.70          
3.00E+00       0.44      0.40      0.00     0.00          0.00          0.70          
4.00E+00       0.44      0.40      0.00     0.00          0.00          0.70          
5.00E+00       0.46      0.40      0.00     0.00          0.00          0.70          
6.00E+00       0.44      0.40      0.00     0.00          0.00          0.70          
7.00E+00       0.44      0.40      0.00     0.00          0.00          0.80          
8.00E+00       0.46      0.40      0.00     0.00          2.12          0.84          
9.00E+00       0.46      0.40      0.00     0.00          4.65          0.80          
1.00E+01       0.46      0.40      0.00     0.00          5.69          0.70          
1.10E+01       0.46      0.40      0.00     0.00          4.65          0.84          
1.20E+01       0.46      0.40      0.00     0.00          5.30          0.80          
1.30E+01       0.46      0.40      0.00     0.00          5.69          0.80          
1.40E+01       0.46      0.40      0.00     0.00          5.97          0.52          
1.50E+01       0.46      0.40      0.00     0.00          5.69          0.80          
1.60E+01       0.46      0.40      0.00     0.00          5.69          0.70          
1.70E+01       0.46      0.40      0.00     0.00          2.12          0.84          
1.80E+01       0.46      0.40      0.00     0.00          0.00          0.84          
1.90E+01       0.46      0.40      0.00     0.00          0.00          0.84          
2.00E+01       0.44      0.40      0.00     0.00          0.00          0.80          
2.10E+01       0.44      0.40      0.00     0.00          0.00          0.80          
2.20E+01       0.44      0.40      0.00     0.00          0.00          0.80          
2.30E+01       0.44      0.40      0.00     0.00          0.00          0.70          
2.40E+01       0.44      0.40      0.00     0.00          0.00          0.70          
